,lat,lon,mci,neighbourhood,occurrencedate,occurrenceday,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear
1171,43.7419281,-79.5942078,Assault,Mount Olive-Silverstone-Jamestown (2),1390761240000,26.0,18,January,2014.0,Assault,Apartment,1390761240000,26,Sunday    ,26,18,January,2014
1172,43.6475868,-79.3915787,Break and Enter,Waterfront Communities-The Island (77),1390662000000,25.0,15,January,2014.0,B&E,Apartment,1390846800000,27,Monday    ,27,18,January,2014
1173,43.7063751,-79.4876709,Assault,Maple Leaf (29),1391301720000,2.0,0,February,2014.0,Assault,House,1391301720000,2,Sunday    ,33,0,February,2014
1174,43.6473656,-79.5113602,Assault,Kingsway South (15),1391355780000,2.0,15,February,2014.0,Assault - Resist/ Prevent Seiz,Commercial,1391355780000,2,Sunday    ,33,15,February,2014
1175,43.6917191,-79.4676971,Assault,Beechborough-Greenbrook (112),1405713960000,18.0,20,July,2014.0,Assault,Apartment,1405713960000,18,Friday    ,199,20,July,2014
1176,43.6917191,-79.4676971,Assault,Beechborough-Greenbrook (112),1405713960000,18.0,20,July,2014.0,Assault - Resist/ Prevent Seiz,Apartment,1405713960000,18,Friday    ,199,20,July,2014
1177,43.6917191,-79.4676971,Assault,Beechborough-Greenbrook (112),1405713960000,18.0,20,July,2014.0,Assault Peace Officer,Apartment,1405713960000,18,Friday    ,199,20,July,2014
1178,43.7099991,-79.3343964,Robbery,Flemingdon Park (44),1405724400000,18.0,23,July,2014.0,Robbery With Weapon,Outside,1405730820000,19,Saturday  ,200,0,July,2014
1179,43.663475,-79.418869,Break and Enter,Dovercourt-Wallace Emerson-Junction (93),1405706400000,18.0,18,July,2014.0,B&E,Apartment,1405725300000,18,Friday    ,199,23,July,2014
1180,43.6630554,-79.4021072,Robbery,University (79),1398479580000,26.0,2,April,2014.0,Robbery - Other,Outside,1398479580000,26,Saturday  ,116,2,April,2014
1181,43.660656,-79.3748474,Assault,Moss Park (73),1398537300000,26.0,18,April,2014.0,Assault With Weapon,Outside,1398537360000,26,Saturday  ,116,18,April,2014
1182,43.660656,-79.3748474,Assault,Moss Park (73),1398537300000,26.0,18,April,2014.0,Assault Bodily Harm,Outside,1398537360000,26,Saturday  ,116,18,April,2014
1183,43.6500702,-79.4170685,Assault,Trinity-Bellwoods (81),1398575700000,27.0,5,April,2014.0,Assault With Weapon,Apartment,1398575820000,27,Sunday    ,117,5,April,2014
1184,43.6500702,-79.4170685,Assault,Trinity-Bellwoods (81),1398575700000,27.0,5,April,2014.0,Assault Bodily Harm,Apartment,1398575820000,27,Sunday    ,117,5,April,2014
1185,43.7209167,-79.5086365,Assault,Downsview-Roding-CFB (26),1398598200000,27.0,11,April,2014.0,Assault,Outside,1398598500000,27,Sunday    ,117,11,April,2014
1186,43.784832,-79.1954346,Assault,Morningside (135),1398626640000,27.0,19,April,2014.0,Assault,Apartment,1398626640000,27,Sunday    ,117,19,April,2014
1187,43.6489716,-79.4047012,Break and Enter,Kensington-Chinatown (78),1398501000000,26.0,8,April,2014.0,B&E,House,1398629760000,27,Sunday    ,117,20,April,2014
1188,43.7484741,-79.5071945,Robbery,Glenfield-Jane Heights (25),1399029600000,2.0,11,May,2014.0,Robbery - Swarming,Outside,1399031640000,2,Friday    ,122,11,May,2014
1189,43.6960831,-79.2951355,Assault,Taylor-Massey (61),1399043700000,2.0,15,May,2014.0,Assault,Other,1399044720000,2,Friday    ,122,15,May,2014
1190,43.6643562,-79.4345322,Robbery,Dovercourt-Wallace Emerson-Junction (93),1399072200000,2.0,23,May,2014.0,Robbery - Swarming,Outside,1399072200000,2,Friday    ,122,23,May,2014
1191,43.6800804,-79.4688492,Robbery,Keelesdale-Eglinton West (110),1401758400000,3.0,1,June,2014.0,Robbery - Swarming,Outside,1401760020000,3,Tuesday   ,154,1,June,2014
1192,43.7178726,-79.4801254,Assault,Maple Leaf (29),1401773400000,3.0,5,June,2014.0,Assault Peace Officer,Outside,1401773940000,3,Tuesday   ,154,5,June,2014
1193,43.7871895,-79.2187424,Break and Enter,Morningside (135),1401792300000,3.0,10,June,2014.0,B&E W'Intent,House,1401801240000,3,Tuesday   ,154,13,June,2014
