"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Fairfield",4058393000,4196420000,4140360000,3915970000,4121371000
"New Haven",2964410000,3399240000,3440019000,2465074000,2852937000
"Hartford",779903000,621919000,706421000,644871000,666292000
"Litchfield",188112000,189581000,201760000,200880000,199901000
"Middlesex",146046000,101085000,112855000,119607000,170846000
