"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Kent",1944392000,1759544000
"Marquette",369348000,337473000
"Delta",111006000,98478000
"Houghton",79235000,69379000
"Menominee",67440000,64842000
"Gogebic",48544000,46332000
"Dickinson",42211000,39554000
"Iron",28434000,26778000
"Leelanau",,47494000
