"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Montgomery",2708844000,2553961000,2719684000,2530472000,3166616000
"Baltimore City",2601315000,2431324000,2360602000,2352946000,119771000
"Baltimore",1912452000,1859768000,1875735000,1843164000,3087373000
"Anne Arundel",858934000,857405000,851506000,799116000,645812000
"Howard",498491000,465313000,468557000,430970000,338340000
"Prince Georges",431048000,396664000,394548000,375162000,339929000
"Harford",326092000,309980000,314827000,304878000,254905000
"Carroll",170494000,171006000,178008000,182047000,161524000
"Charles",59531000,58282000,50661000,47036000,37317000
"Frederick",56363000,149813000,148012000,142092000,100331000
