"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Cook",4949142000,4119192000,4208168000,4541270000,3033229000
"Dupage",491255000,31978000,34091000,33369000,36658000
"Lake",488565000,18761000,0,,
"Rock Island",156591000,339723000,331839000,290007000,273600000
"Knox",140301000,541704000,569467000,537935000,617219000
"Henry",98445000,97408000,94626000,89756000,88803000
"Fulton",87741000,310189000,313881000,293936000,270120000
"Kane",60884000,22110000,24753000,25126000,
"Whiteside",46437000,48189000,82728000,107868000,49366000
"Warren",33266000,33093000,33892000,31075000,26044000
"Mchenry",,,,,32552000
