"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"New York",18266230000,15663601000
"Westchester",4092951000,3763299000
"Nassau",1291117000,629357000
"Suffolk",860296000,475291000
"Dutchess",406602000,238682000
"Rockland",406025000,298941000
"Putnam",172596000,159924000
"Ulster",161531000,829928000
"Bronx",95811000,94347000
"Orange",52124000,43768000
