"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Johnson",800887000,748493000,595729000,550290000,586436000
"Sedgwick",244680000,379678000,388851000,389751000,433747000
"Atchison",16975000,19230000,25013000,28208000,38291000
