"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Clark",12502262000,12128546000
"Washoe",3565594000,3553905000
"Carson City",414639000,458962000
"Douglas",363721000,318170000
"Elko",169665000,154661000
"Lyon",163862000,148867000
"Humboldt",94059000,86566000
"Churchill",93778000,89276000
"Nye",71593000,65739000
"Lander",41116000,36858000
"Pershing",25749000,23339000
